Date,United States(USD)
31-01-79,233.7
28-02-79,251.3
30-03-79,240.1
30-04-79,245.3
31-05-79,274.6
29-06-79,277.5
31-07-79,296.5
31-08-79,315.1
28-09-79,397.3
31-10-79,382
30-11-79,415.7
31-12-79,512
31-01-80,653
29-02-80,637
31-03-80,494.5
30-04-80,518
30-05-80,535.5
30-06-80,653.5
31-07-80,614.3
29-08-80,631.3
30-09-80,666.8
31-10-80,629
28-11-80,619.8
31-12-80,589.8
30-01-81,506.5
27-02-81,489
31-03-81,513.8
30-04-81,482.8
29-05-81,479.3
30-06-81,426
31-07-81,406
31-08-81,425
30-09-81,428.8
30-10-81,427
30-11-81,414.5
31-12-81,397.5
29-01-82,387
26-02-82,362.6
31-03-82,320
30-04-82,361.3
31-05-82,325.3
30-06-82,317.5
30-07-82,342.9
31-08-82,411.5
30-09-82,397
29-10-82,423.3
30-11-82,436
31-12-82,456.9
31-01-83,499.5
28-02-83,408.5
31-03-83,414.8
29-04-83,429.3
31-05-83,437.5
30-06-83,416
29-07-83,422
31-08-83,414.3
30-09-83,405
31-10-83,382
30-11-83,405
30-12-83,382.4
31-01-84,373.8
29-02-84,394.3
30-03-84,388.5
30-04-84,375.8
31-05-84,384.3
29-06-84,373.1
31-07-84,342.4
31-08-84,348.3
28-09-84,343.8
31-10-84,333.5
30-11-84,329
31-12-84,308.3
31-01-85,306.7
28-02-85,287.8
29-03-85,329.3
30-04-85,321.4
31-05-85,314
28-06-85,317.8
31-07-85,327.5
30-08-85,333.3
30-09-85,325.8
31-10-85,325.1
29-11-85,325.3
31-12-85,326.8
31-01-86,350.5
28-02-86,338.2
31-03-86,344
30-04-86,345.8
30-05-86,343.2
30-06-86,346.8
31-07-86,357.5
29-08-86,384.7
30-09-86,423.2
31-10-86,401
28-11-86,389.5
31-12-86,388.8
30-01-87,400.5
27-02-87,405.9
31-03-87,421
30-04-87,453.3
29-05-87,451
30-06-87,447.3
31-07-87,462.5
31-08-87,453.4
30-09-87,459.5
30-10-87,468.8
30-11-87,492.5
31-12-87,484.1
29-01-88,458
29-02-88,426.2
31-03-88,457
29-04-88,449
31-05-88,455.5
30-06-88,436.6
29-07-88,436.8
31-08-88,427.8
30-09-88,396.7
31-10-88,412.4
30-11-88,422.6
30-12-88,410.3
31-01-89,394
28-02-89,387
31-03-89,383.2
28-04-89,377.6
31-05-89,361.8
30-06-89,373
31-07-89,368.3
31-08-89,359.8
29-09-89,366.5
31-10-89,375.3
30-11-89,408.2
29-12-89,398.6
31-01-90,415.1
28-02-90,407.7
30-03-90,368.5
30-04-90,367.8
31-05-90,363.1
29-06-90,352.2
31-07-90,372.3
31-08-90,387.8
28-09-90,408.4
31-10-90,379.5
30-11-90,384.9
31-12-90,386.2
31-01-91,366
28-02-91,362.7
29-03-91,355.7
30-04-91,357.8
31-05-91,360.4
28-06-91,368.4
31-07-91,362.9
30-08-91,347.4
30-09-91,354.9
31-10-91,357.5
29-11-91,366.3
31-12-91,353.2
31-01-92,354.1
28-02-92,353.1
31-03-92,341.7
30-04-92,336.4
29-05-92,337.5
30-06-92,343.4
31-07-92,357.9
31-08-92,340
30-09-92,349
30-10-92,339.3
30-11-92,334.2
31-12-92,332.9
29-01-93,330.5
26-02-93,327.6
31-03-93,337.8
30-04-93,354.3
31-05-93,377.5
30-06-93,378.5
30-07-93,401.8
31-08-93,371.6
30-09-93,355.5
29-10-93,369.6
30-11-93,370.9
31-12-93,391.8
31-01-94,377.9
28-02-94,381.6
31-03-94,389.2
29-04-94,376.5
31-05-94,387.6
30-06-94,388.3
29-07-94,384
31-08-94,385.8
30-09-94,394.9
31-10-94,383.9
30-11-94,383.1
30-12-94,383.3
31-01-95,374.9
28-02-95,376.4
31-03-95,392
28-04-95,389.8
31-05-95,384.3
30-06-95,387.1
31-07-95,383.4
31-08-95,382.4
29-09-95,384
31-10-95,382.7
30-11-95,387.8
29-12-95,387
31-01-96,405.6
29-02-96,400.7
29-03-96,396.4
30-04-96,391.3
31-05-96,390.6
28-06-96,382
31-07-96,385.3
30-08-96,386.5
30-09-96,379
31-10-96,379.5
29-11-96,371.3
31-12-96,369.3
31-01-97,345.5
28-02-97,358.6
31-03-97,348.2
30-04-97,340.2
30-05-97,345.6
30-06-97,334.6
31-07-97,326.4
29-08-97,325.4
30-09-97,332.1
31-10-97,311.4
28-11-97,296.8
31-12-97,290.2
30-01-98,304.9
27-02-98,297.4
31-03-98,301
30-04-98,310.7
29-05-98,293.6
30-06-98,296.3
31-07-98,288.9
31-08-98,273.4
30-09-98,293.9
30-10-98,292.3
30-11-98,294.7
31-12-98,287.8
29-01-99,285.4
26-02-99,287.1
31-03-99,279.5
30-04-99,286.6
31-05-99,268.6
30-06-99,261
30-07-99,255.6
31-08-99,254.8
30-09-99,299
29-10-99,299.1
30-11-99,291.4
31-12-99,290.3
31-01-00,283.3
29-02-00,293.7
31-03-00,276.8
28-04-00,275.1
31-05-00,272.3
30-06-00,288.2
31-07-00,276.8
31-08-00,277
29-09-00,273.7
31-10-00,264.5
30-11-00,269.1
29-12-00,274.5
31-01-01,264.5
28-02-01,266.7
30-03-01,257.7
30-04-01,263.2
31-05-01,267.5
29-06-01,270.6
31-07-01,265.9
31-08-01,273
28-09-01,293.1
31-10-01,278.8
30-11-01,275.5
31-12-01,276.5
31-01-02,282.3
28-02-02,296.9
29-03-02,301.4
30-04-02,308.2
31-05-02,326.6
28-06-02,318.5
31-07-02,304.7
30-08-02,312.8
30-09-02,323.7
31-10-02,316.9
29-11-02,319.1
31-12-02,347.2
31-01-03,367.5
28-02-03,347.5
31-03-03,334.9
30-04-03,336.8
30-05-03,361.4
30-06-03,346
31-07-03,354.8
29-08-03,375.6
30-09-03,388
31-10-03,386.3
28-11-03,398.4
31-12-03,416.3
30-01-04,399.8
27-02-04,395.9
31-03-04,423.7
30-04-04,388.5
31-05-04,393.3
30-06-04,395.8
30-07-04,391.4
31-08-04,407.3
30-09-04,415.7
29-10-04,425.6
30-11-04,453.4
31-12-04,435.6
31-01-05,422.2
28-02-05,435.5
31-03-05,427.5
29-04-05,435.7
31-05-05,414.5
30-06-05,437.1
29-07-05,429
31-08-05,433.3
30-09-05,473.3
31-10-05,470.8
30-11-05,495.7
30-12-05,513
31-01-06,568.8
28-02-06,556
31-03-06,582
28-04-06,644
31-05-06,653
30-06-06,613.5
31-07-06,632.5
31-08-06,623.5
29-09-06,599.3
31-10-06,603.8
30-11-06,646.7
29-12-06,632
31-01-07,650.5
28-02-07,664.2
30-03-07,661.8
30-04-07,677
31-05-07,659.1
29-06-07,650.5
31-07-07,665.5
31-08-07,672
28-09-07,743
31-10-07,789.5
30-11-07,783.5
31-12-07,833.8
31-01-08,923.3
29-02-08,971.5
31-03-08,933.5
30-04-08,871
30-05-08,885.8
30-06-08,930.3
31-07-08,918
29-08-08,833
30-09-08,884.5
31-10-08,730.8
28-11-08,814.5
31-12-08,869.8
30-01-09,919.5
27-02-09,952
31-03-09,916.5
30-04-09,883.3
29-05-09,975.5
30-06-09,934.5
31-07-09,939
31-08-09,955.5
30-09-09,995.8
30-10-09,1040
30-11-09,1175.8
31-12-09,1087.5
29-01-10,1078.5
26-02-10,1108.3
31-03-10,1115.5
30-04-10,1179.3
31-05-10,1207.5
30-06-10,1244
30-07-10,1169
31-08-10,1246
30-09-10,1307
29-10-10,1346.8
30-11-10,1383.5
31-12-10,1405.5
31-01-11,1327
28-02-11,1411
31-03-11,1439
29-04-11,1535.5
31-05-11,1536.5
30-06-11,1505.5
29-07-11,1628.5
31-08-11,1813.5
30-09-11,1620
31-10-11,1722
30-11-11,1746
30-12-11,1531
31-01-12,1744
29-02-12,1770
30-03-12,1662.5
30-04-12,1651.3
31-05-12,1558
29-06-12,1598.5
31-07-12,1622
31-08-12,1648.5
28-09-12,1776
31-10-12,1719
30-11-12,1726
31-12-12,1657.5
31-01-13,1664.8
28-02-13,1588.5
29-03-13,1598.3
30-04-13,1469
31-05-13,1394.5
28-06-13,1192
31-07-13,1314.5
30-08-13,1394.8
30-09-13,1326.5
31-10-13,1324
29-11-13,1253
31-12-13,1204.5
31-01-14,1251
28-02-14,1326.5
31-03-14,1291.8
30-04-14,1288.5
30-05-14,1250.5
30-06-14,1315
31-07-14,1285.3
29-08-14,1285.8
30-09-14,1216.5
31-10-14,1164.3
28-11-14,1182.8
31-12-14,1206
30-01-15,1260.3
27-02-15,1214
31-03-15,1187
30-04-15,1180.3
29-05-15,1191.4
30-06-15,1171
31-07-15,1098.4
31-08-15,1135
30-09-15,1114
30-10-15,1142.4
30-11-15,1061.9
31-12-15,1060
29-01-16,1111.8
29-02-16,1234.9
31-03-16,1237
29-04-16,1285.7
31-05-16,1212.1
30-06-16,1320.8
29-07-16,1342
31-08-16,1309.3
30-09-16,1322.5
31-10-16,1272
30-11-16,1178.1
30-12-16,1145.9
31-01-17,1212.8
28-02-17,1255.6
31-03-17,1244.9
28-04-17,1266.5
31-05-17,1266.2
30-06-17,1242.3
31-07-17,1267.6
31-08-17,1311.8
29-09-17,1283.1
31-10-17,1270.2
30-11-17,1280.2
29-12-17,1291
31-01-18,1345.1
28-02-18,1317.9
30-03-18,1323.9
30-04-18,1313.2
31-05-18,1305.4
29-06-18,1250.5
31-07-18,1221
31-08-18,1202.5
28-09-18,1187.3
31-10-18,1215
30-11-18,1217.6
31-12-18,1279
31-01-19,1323.3
28-02-19,1319.2
29-03-19,1295.4
30-04-19,1282.3
31-05-19,1295.6
28-06-19,1409
31-07-19,1427.6
30-08-19,1528.4
30-09-19,1485.3
31-10-19,1511
29-11-19,1460.2
31-12-19,1514.8
31-01-20,1584.2
28-02-20,1609.9
31-03-20,1609
30-04-20,1702.8
29-05-20,1728.7
30-06-20,1768.1
31-07-20,1964.9
31-08-20,1957.4
30-09-20,1886.9
30-10-20,1881.9
30-11-20,1762.6
31-12-20,1887.6
29-01-21,1863.8
26-02-21,1742.9
31-03-21,1691.1
30-04-21,1767.7
31-05-21,1900
30-06-21,1763.2
30-07-21,1825.8
